Delivery;Created by;Time;Created on;SDst;ShPt;Sorg;DlvTy;Pl GI date;Loadg Date;TrpPlanDt;Deliv Date;Pick Date;IncoT;Route;DocCa;FacCal;DPrio;SC;Ship-to;Sold-to pt;Total Weight;Net weight;WUn;NoPk;At;Billing Date;Route;Curr;Soff;Combination criteria for delivery;Changed by;Chngd on;CCAr;Cred acct;Cred;Credrepgrp;Risk category;Doc Date;AcGI date;Net value;Pick time;TP Time;Loadg Time;GI Time;Distance;Dis;Veh Plate No;Gross Weight GVM;Tare Weight;TareCompl;Weighcomp;Time Ticket Printed;User Name;Weigh Bridge Number;Terminal;Driver;NAWI Serial Number;Confirm
10000;Blanchard.Jody;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB2234;J;GB;3;07;0286760321;1272500123;977,960;977,960;TO;51;01:00:00;2128-01-10;GB2234;EUR;;0510;Lawrence.Phillip;2128-01-18;GB00;;M48;;GBC;;;45.780,25;01:00:00;01:00:00;01:00:00;01:00:00;;;vzasanku;-43,341;0,140;;X;01:00:00;Williamson.Jerry;3;0A4B9548;Ballard.Rocky;;0
10001;Blanchard.Jody;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB9272;J;GB;3;07;0286760321;1272500123;464,200;464,200;TO;51;01:00:00;2128-01-10;GB9272;US;;0250;Lawrence.Phillip;2128-01-10;GB00;;M48;;GBC;;;76.300,42;01:00:00;01:00:00;01:00:00;01:00:00;;;reihzncy;18,528;16,681;X;X;01:00:00;Mercado.Tabatha;3;0A4B6950;Singleton.Ernest;;0
10000;Blanchard.Jody;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB2234;J;GB;3;07;0286760321;1272500123;225,700;225,700;KG;51;01:00:00;2128-01-10;GB2234;EUR;;0510;Lawrence.Phillip;2128-01-10;GB00;;M48;;GBC;;;76.300,42;01:00:00;01:00:00;01:00:00;01:00:00;;;hpclasuh;23,186;-0,977;X;;01:00:00;Murphy.Harold;3;0A4B6498;Cantrell.Don;179068;0
10000;Blanchard.Jody;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB4844;J;GB;3;07;0286760321;1272500123;128,140;128,140;TO;51;01:00:00;2128-01-10;GB4844;EUR;;0460;Perkins.Jesse;2128-01-28;GB00;;M48;;GBH;;;157.034,84;01:00:00;01:00:00;01:00:00;01:00:00;;;azztufdm;33,026;-6,087;;;01:00:00;Puckett.Ron;3;0A4B9319;Singleton.Ernest;;0
10000;Peters.Hannah;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB1299;J;GB;3;07;0286760321;1272500123;0,001;0,001;TO;51;01:00:00;2128-01-10;GB1299;EUR;;0900;Barrett.Courtney;2128-02-24;GB00;;M48;;GBH;;;164.698,22;01:00:00;01:00:00;01:00:00;01:00:00;;;gfmpoitj;-17,508;-21,732;X;;01:00:00;Leonard.Marlene;3;0A4B9488;Craig.Alice;687742;0
10000;Nunez.Nicholas;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB8583;J;GB;3;07;0286760321;1291028603;721,030;721,030;KG;51;01:00:00;2128-01-10;GB8583;GBP;;0460;Peters.Hannah;2128-03-27;GB00;;M43;;GBA;;;606.949,42;01:00:00;01:00:00;01:00:00;01:00:00;;;pjykivht;20,913;4,384;;;01:00:00;Wilkins.Dawn;11;0A4B5528;Dyer.Veronica;461868;8473069
10000;Nunez.Nicholas;01:00:00;2128-01-10;GBK790;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB8583;J;GB;3;07;0286760321;1291028603;277,000;277,000;KG;51;01:00:00;2128-01-10;GB8583;GBP;;0680;Craig.Alice;2128-01-13;GB00;;M43;;GBA;;;95.733,90;01:00:00;01:00:00;01:00:00;01:00:00;;;xezigouh;63,656;-13,617;X;X;01:00:00;Rush.Kristina;3;0A4B4298;Aguilar.Stephen;;0
10000;Barrett.Courtney;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB2234;J;GB;3;07;0286760321;1291028603;2.001,582;2.001,582;KG;51;01:00:00;2128-01-10;GB2234;GBP;;0900;Craig.Alice;2128-02-07;GB00;;M43;;GBP;;;307.979,26;01:00:00;01:00:00;01:00:00;01:00:00;;;mylhliye;5,902;3,299;;;01:00:00;McBride.Shawn;11;0A4B0655;Sampson.Johnny;;0
10000;Baker.Dawn;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB4364;J;GB;3;07;0286760321;1153462471;361,228;361,228;KG;51;01:00:00;2128-01-10;GB4364;US;;0030;Craig.Alice;2128-01-22;GB00;;M58;;GBA;;;202.001,13;01:00:00;01:00:00;01:00:00;01:00:00;;;ppzlmblc;-14,569;29,015;X;;01:00:00;Joseph.Donna;11;;Guy.Derrick;;3255608
10000;Baker.Dawn;01:00:00;2128-01-10;GBL858;;;YD06;2128-01-10;2128-01-10;2128-01-10;2128-01-10;2128-01-10;;GB7815;J;GB;3;07;0286760321;1153462471;0,390;0,390;TO;51;01:00:00;2128-01-10;GB7815;EUR;;0030;Sosa.Sara;2128-01-10;GB00;;M58;;GBA;;;30,25;01:00:00;01:00:00;01:00:00;01:00:00;;;sxnlmexa;43,753;5,047;X;;01:00:00;Joseph.Donna;3;;Bennett.Savannah;;0
